ACAB0150,PL CENTER CLASSIFICATION,1,01,BIZ DIVISION,BIZ DIVISION,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,02,COMPANY,COMPANY,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,03,BIZ LOCATION,BIZ LOCATION,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,05,COMPANY GROUP,COMPANY GROUP,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,07,USER PL GROUP2,USER PL GROUP2,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,09,USER DEFINED,USER DEFINED,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,08,USER PL GROUP3,USER PL GROUP3,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,06,USER PL GROUP1,USER PL GROUP1,N,1,,,,
ACAB0150,PL CENTER CLASSIFICATION,1,04,NATION,NATION,N,1,,,,
ACAB0160,ACCOUNT PL TYPE,10,BA,BUDGET ALLOCATION,BUDGET ALLOCATION,N,1,,,,
ACAB0160,ACCOUNT PL TYPE,20,IT,ITEM ALLOCATION,ITEM ALLOCATION,N,1,,,,
ACAB0160,ACCOUNT PL TYPE,30,PL,USER INSERT PLUNIT,USER INSERT PLUNIT,N,1,,,,
ACAB0160,ACCOUNT PL TYPE,40,AC,ACCOUNT CODE,ACCOUNT CODE,Y,1,,,,
ACAB0180,CONTROL ITEM TYPE,10,SRN,SERI NO,SERI NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,20,IVT,INVOICE TYPE,INVOICE TYPE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,30,NET,NET AMOUNT,NET AMOUNT,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,40,TXC,TAX CODE,TAX CODE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,50,VEN,VENDOR NAME,VENDOR NAME,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,60,IVD,INVOICE DATE,INVOICE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,70,IVN,INVOICE NO,INVOICE NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,80,TXR,TAX RATE,TAX RATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,90,PYN,PAYMENT NO,PAYMENT NO,N,1,,,,
